node_id,x,y
N_12_20,12.0,20.0
N_12_21,12.0,21.0
N_12_22,12.0,22.0
N_12_23,12.0,23.0
N_12_24,12.0,24.0
N_12_25,12.0,25.0
N_12_26,12.0,26.0
N_12_27,12.0,27.0
N_12_28,12.0,28.0
N_12_29,12.0,29.0
N_12_3,12.0,3.0
N_12_30,12.0,30.0
N_12_31,12.0,31.0
N_12_32,12.0,32.0
N_12_33,12.0,33.0
N_12_34,12.0,34.0
N_12_35,12.0,35.0
N_12_36,12.0,36.0
N_12_37,12.0,37.0
N_12_38,12.0,38.0
N_12_39,12.0,39.0
N_12_4,12.0,4.0
N_12_5,12.0,5.0
N_12_6,12.0,6.0
N_12_7,12.0,7.0
N_12_8,12.0,8.0
N_12_9,12.0,9.0
N_13_0,13.0,0.0
N_13_1,13.0,1.0
N_13_10,13.0,10.0
N_13_11,13.0,11.0
N_13_12,13.0,12.0
N_13_13,13.0,13.0
N_13_14,13.0,14.0
N_13_15,13.0,15.0
N_13_16,13.0,16.0
N_13_17,13.0,17.0
N_13_18,13.0,18.0
N_13_19,13.0,19.0
N_13_2,13.0,2.0
N_13_20,13.0,20.0
N_13_21,13.0,21.0
N_13_22,13.0,22.0
N_13_23,13.0,23.0
N_13_24,13.0,24.0
N_13_25,13.0,25.0
N_13_26,13.0,26.0
N_13_27,13.0,27.0
N_13_28,13.0,28.0
N_13_29,13.0,29.0
N_13_3,13.0,3.0
N_13_30,13.0,30.0
N_13_31,13.0,31.0
N_13_32,13.0,32.0
N_13_33,13.0,33.0
N_13_34,13.0,34.0
N_13_35,13.0,35.0
N_13_36,13.0,36.0
N_13_37,13.0,37.0
N_13_38,13.0,38.0
N_13_39,13.0,39.0
N_13_4,13.0,4.0
N_13_5,13.0,5.0
N_13_6,13.0,6.0
N_13_7,13.0,7.0
N_13_8,13.0,8.0
N_13_9,13.0,9.0
N_14_0,14.0,0.0
N_14_1,14.0,1.0
N_14_10,14.0,10.0
N_14_11,14.0,11.0
N_14_12,14.0,12.0
N_14_13,14.0,13.0
N_14_14,14.0,14.0
N_14_15,14.0,15.0
N_14_16,14.0,16.0
N_14_17,14.0,17.0
N_14_18,14.0,18.0
N_14_19,14.0,19.0
N_14_2,14.0,2.0
N_14_20,14.0,20.0
N_14_21,14.0,21.0
N_14_22,14.0,22.0
N_14_23,14.0,23.0
N_14_24,14.0,24.0
N_14_25,14.0,25.0
N_14_26,14.0,26.0
N_14_27,14.0,27.0
N_14_28,14.0,28.0
N_14_29,14.0,29.0
N_14_3,14.0,3.0
N_14_30,14.0,30.0
N_14_31,14.0,31.0
N_14_32,14.0,32.0
N_14_33,14.0,33.0
N_14_34,14.0,34.0
N_14_35,14.0,35.0
N_14_36,14.0,36.0
N_14_37,14.0,37.0
N_14_38,14.0,38.0
N_14_39,14.0,39.0
N_14_4,14.0,4.0
N_14_5,14.0,5.0
N_14_6,14.0,6.0
N_14_7,14.0,7.0
N_14_8,14.0,8.0
N_14_9,14.0,9.0
N_15_0,15.0,0.0
N_15_1,15.0,1.0
N_15_10,15.0,10.0
N_15_11,15.0,11.0
N_15_12,15.0,12.0
N_15_13,15.0,13.0
N_15_14,15.0,14.0
N_15_15,15.0,15.0
N_15_16,15.0,16.0
N_15_17,15.0,17.0
N_15_18,15.0,18.0
N_15_19,15.0,19.0
N_15_2,15.0,2.0
N_15_20,15.0,20.0
N_15_21,15.0,21.0
N_15_22,15.0,22.0
N_15_23,15.0,23.0
N_15_24,15.0,24.0
N_15_25,15.0,25.0
N_15_26,15.0,26.0
N_15_27,15.0,27.0
N_15_28,15.0,28.0
N_15_29,15.0,29.0
N_15_3,15.0,3.0
N_15_30,15.0,30.0
N_15_31,15.0,31.0
N_15_32,15.0,32.0
N_15_33,15.0,33.0
N_15_34,15.0,34.0
N_15_35,15.0,35.0
N_15_36,15.0,36.0
N_15_37,15.0,37.0
N_15_38,15.0,38.0
N_15_39,15.0,39.0
N_15_4,15.0,4.0
N_15_5,15.0,5.0
N_15_6,15.0,6.0
N_15_7,15.0,7.0
N_15_8,15.0,8.0
N_15_9,15.0,9.0
N_16_0,16.0,0.0
N_16_1,16.0,1.0
N_16_10,16.0,10.0
N_16_11,16.0,11.0
N_16_12,16.0,12.0
N_16_13,16.0,13.0
N_16_14,16.0,14.0
N_16_15,16.0,15.0
N_16_16,16.0,16.0
N_16_17,16.0,17.0
N_16_18,16.0,18.0
N_16_19,16.0,19.0
N_16_2,16.0,2.0
N_16_20,16.0,20.0
N_16_21,16.0,21.0
N_16_22,16.0,22.0
N_16_23,16.0,23.0
N_16_24,16.0,24.0
N_16_25,16.0,25.0
N_16_26,16.0,26.0
N_16_27,16.0,27.0
N_16_28,16.0,28.0
N_16_29,16.0,29.0
N_16_3,16.0,3.0
N_16_30,16.0,30.0
N_16_31,16.0,31.0
N_16_32,16.0,32.0
N_16_33,16.0,33.0
N_16_34,16.0,34.0
N_16_35,16.0,35.0
N_16_36,16.0,36.0
N_16_37,16.0,37.0
N_16_38,16.0,38.0
N_16_39,16.0,39.0
N_16_4,16.0,4.0
N_16_5,16.0,5.0
N_16_6,16.0,6.0
N_16_7,16.0,7.0
N_16_8,16.0,8.0
N_16_9,16.0,9.0
N_17_0,17.0,0.0
N_17_1,17.0,1.0
N_17_10,17.0,10.0
N_17_11,17.0,11.0
N_17_12,17.0,12.0
N_17_13,17.0,13.0
N_17_14,17.0,14.0
N_17_15,17.0,15.0
N_17_16,17.0,16.0
N_17_17,17.0,17.0
N_17_18,17.0,18.0
N_17_19,17.0,19.0
N_17_2,17.0,2.0
N_17_20,17.0,20.0
N_17_21,17.0,21.0
N_17_22,17.0,22.0
N_17_23,17.0,23.0
N_17_24,17.0,24.0
N_17_25,17.0,25.0
N_17_26,17.0,26.0
N_17_27,17.0,27.0
N_17_28,17.0,28.0
N_17_29,17.0,29.0
N_17_3,17.0,3.0
N_17_30,17.0,30.0
N_17_31,17.0,31.0
N_17_32,17.0,32.0
N_17_33,17.0,33.0
N_17_34,17.0,34.0
N_17_35,17.0,35.0
N_17_36,17.0,36.0
N_17_37,17.0,37.0
N_17_38,17.0,38.0
N_17_39,17.0,39.0
N_17_4,17.0,4.0
N_17_5,17.0,5.0
N_17_6,17.0,6.0
N_17_7,17.0,7.0
N_17_8,17.0,8.0
N_17_9,17.0,9.0
N_18_0,18.0,0.0
N_18_1,18.0,1.0
N_18_10,18.0,10.0
N_18_11,18.0,11.0
N_18_12,18.0,12.0
N_18_13,18.0,13.0
N_18_14,18.0,14.0
N_18_15,18.0,15.0
N_18_16,18.0,16.0
N_18_17,18.0,17.0
N_18_18,18.0,18.0
N_18_19,18.0,19.0
N_18_2,18.0,2.0
N_18_20,18.0,20.0
N_18_21,18.0,21.0
N_18_22,18.0,22.0
N_18_23,18.0,23.0
N_18_24,18.0,24.0
N_18_25,18.0,25.0
N_18_26,18.0,26.0
N_18_27,18.0,27.0
N_18_28,18.0,28.0
N_18_29,18.0,29.0
N_18_3,18.0,3.0
N_18_30,18.0,30.0
N_18_31,18.0,31.0
N_18_32,18.0,32.0
N_18_33,18.0,33.0
N_18_34,18.0,34.0
N_18_35,18.0,35.0
N_18_36,18.0,36.0
N_18_37,18.0,37.0
N_18_38,18.0,38.0
N_18_39,18.0,39.0
N_18_4,18.0,4.0
N_18_5,18.0,5.0
N_18_6,18.0,6.0
N_18_7,18.0,7.0
N_18_8,18.0,8.0
N_18_9,18.0,9.0
N_19_0,19.0,0.0
N_19_1,19.0,1.0
N_19_10,19.0,10.0
N_19_11,19.0,11.0
N_19_12,19.0,12.0
N_19_13,19.0,13.0
N_19_14,19.0,14.0
N_19_15,19.0,15.0
N_19_16,19.0,16.0
N_19_17,19.0,17.0
N_19_18,19.0,18.0
N_19_19,19.0,19.0
N_19_2,19.0,2.0
N_19_20,19.0,20.0
N_19_21,19.0,21.0
N_19_22,19.0,22.0
N_19_23,19.0,23.0
N_19_24,19.0,24.0
N_19_25,19.0,25.0
N_19_26,19.0,26.0
N_19_27,19.0,27.0
N_19_28,19.0,28.0
N_19_29,19.0,29.0
N_19_3,19.0,3.0
N_19_30,19.0,30.0
N_19_31,19.0,31.0
N_19_32,19.0,32.0
N_19_33,19.0,33.0
N_19_34,19.0,34.0
N_19_35,19.0,35.0
N_19_36,19.0,36.0
N_19_37,19.0,37.0
N_19_38,19.0,38.0
N_19_39,19.0,39.0
N_19_4,19.0,4.0
N_19_5,19.0,5.0
N_19_6,19.0,6.0
N_19_7,19.0,7.0
N_19_8,19.0,8.0
N_19_9,19.0,9.0
N_1_0,1.0,0.0
N_1_1,1.0,1.0
N_1_10,1.0,10.0
N_1_11,1.0,11.0
N_1_12,1.0,12.0
N_1_13,1.0,13.0
N_1_14,1.0,14.0
N_1_15,1.0,15.0
N_1_16,1.0,16.0
N_1_17,1.0,17.0
N_1_18,1.0,18.0
N_1_19,1.0,19.0
N_1_2,1.0,2.0
N_1_20,1.0,20.0
N_1_21,1.0,21.0
N_1_22,1.0,22.0
N_1_23,1.0,23.0
N_1_24,1.0,24.0
N_1_25,1.0,25.0
N_1_26,1.0,26.0
N_1_27,1.0,27.0
N_1_28,1.0,28.0
N_1_29,1.0,29.0
N_1_3,1.0,3.0
N_1_30,1.0,30.0
N_1_31,1.0,31.0
N_1_32,1.0,32.0
N_1_33,1.0,33.0
N_1_34,1.0,34.0
N_1_35,1.0,35.0
N_1_36,1.0,36.0
N_1_37,1.0,37.0
N_1_38,1.0,38.0
N_1_39,1.0,39.0
N_1_4,1.0,4.0
N_1_5,1.0,5.0
N_1_6,1.0,6.0
N_1_7,1.0,7.0
N_1_8,1.0,8.0
N_1_9,1.0,9.0
N_20_0,20.0,0.0
N_20_1,20.0,1.0
N_20_10,20.0,10.0
N_20_11,20.0,11.0
N_20_12,20.0,12.0
N_20_13,20.0,13.0
N_20_14,20.0,14.0
N_20_15,20.0,15.0
N_20_16,20.0,16.0
N_20_17,20.0,17.0
N_20_18,20.0,18.0
N_20_19,20.0,19.0
N_20_2,20.0,2.0
N_20_20,20.0,20.0
N_20_21,20.0,21.0
N_20_22,20.0,22.0
N_20_23,20.0,23.0
N_20_24,20.0,24.0
N_20_25,20.0,25.0
N_20_26,20.0,26.0
N_20_27,20.0,27.0
N_20_28,20.0,28.0
N_20_29,20.0,29.0
N_20_3,20.0,3.0
N_20_30,20.0,30.0
N_20_31,20.0,31.0
N_20_32,20.0,32.0
N_20_33,20.0,33.0
N_20_34,20.0,34.0
N_20_35,20.0,35.0
N_20_36,20.0,36.0
N_20_37,20.0,37.0
N_20_38,20.0,38.0
N_20_39,20.0,39.0
N_20_4,20.0,4.0
N_20_5,20.0,5.0
N_20_6,20.0,6.0
N_20_7,20.0,7.0
N_20_8,20.0,8.0
N_20_9,20.0,9.0
N_21_0,21.0,0.0
N_21_1,21.0,1.0
N_21_10,21.0,10.0
N_21_11,21.0,11.0
N_21_12,21.0,12.0
N_21_13,21.0,13.0
N_21_14,21.0,14.0
N_21_15,21.0,15.0
N_21_16,21.0,16.0
N_21_17,21.0,17.0
N_21_18,21.0,18.0
N_21_19,21.0,19.0
N_21_2,21.0,2.0
N_21_20,21.0,20.0
N_21_21,21.0,21.0
N_21_22,21.0,22.0
N_21_23,21.0,23.0
N_21_24,21.0,24.0
N_21_25,21.0,25.0
N_21_26,21.0,26.0
N_21_27,21.0,27.0
N_21_28,21.0,28.0
N_21_29,21.0,29.0
N_21_3,21.0,3.0
N_21_30,21.0,30.0
N_21_31,21.0,31.0
N_21_32,21.0,32.0
N_21_33,21.0,33.0
N_21_34,21.0,34.0
N_21_35,21.0,35.0
N_21_36,21.0,36.0
N_21_37,21.0,37.0
N_21_38,21.0,38.0
N_21_39,21.0,39.0
N_21_4,21.0,4.0
N_21_5,21.0,5.0
N_21_6,21.0,6.0
N_21_7,21.0,7.0
N_21_8,21.0,8.0
N_21_9,21.0,9.0
N_22_0,22.0,0.0
N_22_1,22.0,1.0
N_22_10,22.0,10.0
N_22_11,22.0,11.0
N_22_12,22.0,12.0
N_22_13,22.0,13.0
N_22_14,22.0,14.0
N_22_15,22.0,15.0
N_22_16,22.0,16.0
N_22_17,22.0,17.0
N_22_18,22.0,18.0
N_22_19,22.0,19.0
N_22_2,22.0,2.0
N_22_20,22.0,20.0
N_22_21,22.0,21.0
N_22_22,22.0,22.0
N_22_23,22.0,23.0
N_22_24,22.0,24.0
N_22_25,22.0,25.0
N_22_26,22.0,26.0
N_22_27,22.0,27.0
N_22_28,22.0,28.0
N_22_29,22.0,29.0
N_22_3,22.0,3.0
N_22_30,22.0,30.0
N_22_31,22.0,31.0
N_22_32,22.0,32.0
N_22_33,22.0,33.0
N_22_34,22.0,34.0
N_22_35,22.0,35.0
N_22_36,22.0,36.0
N_22_37,22.0,37.0
N_22_38,22.0,38.0
N_22_39,22.0,39.0
N_22_4,22.0,4.0
N_22_5,22.0,5.0
N_22_6,22.0,6.0
N_22_7,22.0,7.0
N_22_8,22.0,8.0
N_22_9,22.0,9.0
N_23_0,23.0,0.0
N_23_1,23.0,1.0
N_23_10,23.0,10.0
N_23_11,23.0,11.0
N_23_12,23.0,12.0
N_23_13,23.0,13.0
N_23_14,23.0,14.0
N_23_15,23.0,15.0
N_23_16,23.0,16.0
N_23_17,23.0,17.0
N_23_18,23.0,18.0
N_23_19,23.0,19.0
N_23_2,23.0,2.0
N_23_20,23.0,20.0
N_23_21,23.0,21.0
N_23_22,23.0,22.0
N_23_23,23.0,23.0
N_23_24,23.0,24.0
N_23_25,23.0,25.0
N_23_26,23.0,26.0
N_23_27,23.0,27.0
N_23_28,23.0,28.0
N_23_29,23.0,29.0
N_23_3,23.0,3.0
N_23_30,23.0,30.0
N_23_31,23.0,31.0
N_23_32,23.0,32.0
N_23_33,23.0,33.0
N_23_34,23.0,34.0
N_23_35,23.0,35.0
N_23_36,23.0,36.0
N_23_37,23.0,37.0
N_23_38,23.0,38.0
N_23_39,23.0,39.0
N_23_4,23.0,4.0
N_23_5,23.0,5.0
N_23_6,23.0,6.0
N_23_7,23.0,7.0
N_23_8,23.0,8.0
N_23_9,23.0,9.0
N_24_0,24.0,0.0
N_24_1,24.0,1.0
N_24_10,24.0,10.0
N_24_11,24.0,11.0
N_24_12,24.0,12.0
N_24_13,24.0,13.0
N_24_14,24.0,14.0
N_24_15,24.0,15.0
N_24_16,24.0,16.0
N_24_17,24.0,17.0
N_24_18,24.0,18.0
N_24_19,24.0,19.0
N_24_2,24.0,2.0
N_24_20,24.0,20.0
N_24_21,24.0,21.0
N_24_22,24.0,22.0
N_24_23,24.0,23.0
N_24_24,24.0,24.0
N_24_25,24.0,25.0
N_24_26,24.0,26.0
N_24_27,24.0,27.0
N_24_28,24.0,28.0
N_24_29,24.0,29.0
N_24_3,24.0,3.0
N_24_30,24.0,30.0
N_24_31,24.0,31.0
N_24_32,24.0,32.0
N_24_33,24.0,33.0
N_24_34,24.0,34.0
N_24_35,24.0,35.0
N_24_36,24.0,36.0
N_24_37,24.0,37.0
N_24_38,24.0,38.0
N_24_39,24.0,39.0
N_24_4,24.0,4.0
N_24_5,24.0,5.0
N_24_6,24.0,6.0
N_24_7,24.0,7.0
N_24_8,24.0,8.0
N_24_9,24.0,9.0
N_2_0,2.0,0.0
N_2_1,2.0,1.0
N_2_10,2.0,10.0
N_2_11,2.0,11.0
N_2_12,2.0,12.0
N_2_13,2.0,13.0
N_2_14,2.0,14.0
N_2_15,2.0,15.0
N_2_16,2.0,16.0
N_2_17,2.0,17.0
N_2_18,2.0,18.0
N_2_19,2.0,19.0
N_2_2,2.0,2.0
N_2_20,2.0,20.0
N_2_21,2.0,21.0
N_2_22,2.0,22.0
N_2_23,2.0,23.0
N_2_24,2.0,24.0
N_2_25,2.0,25.0
N_2_26,2.0,26.0
N_2_27,2.0,27.0
N_2_28,2.0,28.0
N_2_29,2.0,29.0
N_2_3,2.0,3.0
N_2_30,2.0,30.0
N_2_31,2.0,31.0
N_2_32,2.0,32.0
N_2_33,2.0,33.0
N_2_34,2.0,34.0
N_2_35,2.0,35.0
N_2_36,2.0,36.0
N_2_37,2.0,37.0
N_2_38,2.0,38.0
N_2_39,2.0,39.0
N_2_4,2.0,4.0
N_2_5,2.0,5.0
N_2_6,2.0,6.0
N_2_7,2.0,7.0
N_2_8,2.0,8.0
N_2_9,2.0,9.0
N_3_0,3.0,0.0
N_3_1,3.0,1.0
N_3_10,3.0,10.0
N_3_11,3.0,11.0
N_3_12,3.0,12.0
N_3_13,3.0,13.0
N_3_14,3.0,14.0
N_3_15,3.0,15.0
N_3_16,3.0,16.0
N_3_17,3.0,17.0
N_3_18,3.0,18.0
N_3_19,3.0,19.0
N_3_2,3.0,2.0
N_3_20,3.0,20.0
N_3_21,3.0,21.0
N_3_22,3.0,22.0
N_3_23,3.0,23.0
N_3_24,3.0,24.0
N_3_25,3.0,25.0
N_3_26,3.0,26.0
N_3_27,3.0,27.0
N_3_28,3.0,28.0
N_3_29,3.0,29.0
N_3_3,3.0,3.0
N_3_30,3.0,30.0
N_3_31,3.0,31.0
N_3_32,3.0,32.0
N_3_33,3.0,33.0
N_3_34,3.0,34.0
N_3_35,3.0,35.0
N_3_36,3.0,36.0
N_3_37,3.0,37.0
N_3_38,3.0,38.0
N_3_39,3.0,39.0
N_3_4,3.0,4.0
N_3_5,3.0,5.0
N_3_6,3.0,6.0
N_3_7,3.0,7.0
N_3_8,3.0,8.0
N_3_9,3.0,9.0
N_4_0,4.0,0.0
N_4_1,4.0,1.0
N_4_10,4.0,10.0
N_4_11,4.0,11.0
N_4_12,4.0,12.0
N_4_13,4.0,13.0
N_4_14,4.0,14.0
N_4_15,4.0,15.0
N_4_16,4.0,16.0
N_4_17,4.0,17.0
N_4_18,4.0,18.0
N_4_19,4.0,19.0
N_4_2,4.0,2.0
N_4_20,4.0,20.0
N_4_21,4.0,21.0
N_4_22,4.0,22.0
N_4_23,4.0,23.0
N_4_24,4.0,24.0
N_4_25,4.0,25.0
N_4_26,4.0,26.0
N_4_27,4.0,27.0
N_4_28,4.0,28.0
N_4_29,4.0,29.0
N_4_3,4.0,3.0
N_4_30,4.0,30.0
N_4_31,4.0,31.0
N_4_32,4.0,32.0
N_4_33,4.0,33.0
N_4_34,4.0,34.0
N_4_35,4.0,35.0
N_4_36,4.0,36.0
N_4_37,4.0,37.0
N_4_38,4.0,38.0
N_4_39,4.0,39.0
N_4_4,4.0,4.0
N_4_5,4.0,5.0
N_4_6,4.0,6.0
N_4_7,4.0,7.0
N_4_8,4.0,8.0
N_4_9,4.0,9.0
N_5_0,5.0,0.0
N_5_1,5.0,1.0
N_5_10,5.0,10.0
N_5_11,5.0,11.0
N_5_12,5.0,12.0
N_5_13,5.0,13.0
N_5_14,5.0,14.0
N_5_15,5.0,15.0
N_5_16,5.0,16.0
N_5_17,5.0,17.0
N_5_18,5.0,18.0
N_5_19,5.0,19.0
N_5_2,5.0,2.0
N_5_20,5.0,20.0
N_5_21,5.0,21.0
N_5_22,5.0,22.0
N_5_23,5.0,23.0
N_5_24,5.0,24.0
N_5_25,5.0,25.0
N_5_26,5.0,26.0
N_5_27,5.0,27.0
N_5_28,5.0,28.0
N_5_29,5.0,29.0
N_5_3,5.0,3.0
N_5_30,5.0,30.0
N_5_31,5.0,31.0
N_5_32,5.0,32.0
N_5_33,5.0,33.0
N_5_34,5.0,34.0
N_5_35,5.0,35.0
N_5_36,5.0,36.0
N_5_37,5.0,37.0
N_5_38,5.0,38.0
N_5_39,5.0,39.0
N_5_4,5.0,4.0
N_5_5,5.0,5.0
N_5_6,5.0,6.0
N_5_7,5.0,7.0
N_5_8,5.0,8.0
N_5_9,5.0,9.0
N_6_0,6.0,0.0
N_6_1,6.0,1.0
N_6_10,6.0,10.0
N_6_11,6.0,11.0
N_6_12,6.0,12.0
N_6_13,6.0,13.0
N_6_14,6.0,14.0
N_6_15,6.0,15.0
N_6_16,6.0,16.0
N_6_17,6.0,17.0
N_6_18,6.0,18.0
N_6_19,6.0,19.0
N_6_2,6.0,2.0
N_6_20,6.0,20.0
N_6_21,6.0,21.0
N_6_22,6.0,22.0
N_6_23,6.0,23.0
N_6_24,6.0,24.0
N_6_25,6.0,25.0
N_6_26,6.0,26.0
N_6_27,6.0,27.0
N_6_28,6.0,28.0
N_6_29,6.0,29.0
N_6_3,6.0,3.0
N_6_30,6.0,30.0
N_6_31,6.0,31.0
N_6_32,6.0,32.0
N_6_33,6.0,33.0
N_6_34,6.0,34.0
N_6_35,6.0,35.0
N_6_36,6.0,36.0
N_6_37,6.0,37.0
N_6_38,6.0,38.0
N_6_39,6.0,39.0
N_6_4,6.0,4.0
N_6_5,6.0,5.0
N_6_6,6.0,6.0
N_6_7,6.0,7.0
N_6_8,6.0,8.0
N_6_9,6.0,9.0
N_7_0,7.0,0.0
N_7_1,7.0,1.0
N_7_10,7.0,10.0
N_7_11,7.0,11.0
N_7_12,7.0,12.0
N_7_13,7.0,13.0
N_7_14,7.0,14.0
N_7_15,7.0,15.0
N_7_16,7.0,16.0
N_7_17,7.0,17.0
N_7_18,7.0,18.0
N_7_19,7.0,19.0
N_7_2,7.0,2.0
N_7_20,7.0,20.0
N_7_21,7.0,21.0
N_7_22,7.0,22.0
N_7_23,7.0,23.0
N_7_24,7.0,24.0
N_7_25,7.0,25.0
N_7_26,7.0,26.0
N_7_27,7.0,27.0
N_7_28,7.0,28.0
N_7_29,7.0,29.0
N_7_3,7.0,3.0
N_7_30,7.0,30.0
N_7_31,7.0,31.0
N_7_32,7.0,32.0
N_7_33,7.0,33.0
N_7_34,7.0,34.0
N_7_35,7.0,35.0
N_7_36,7.0,36.0
N_7_37,7.0,37.0
N_7_38,7.0,38.0
N_7_39,7.0,39.0
N_7_4,7.0,4.0
N_7_5,7.0,5.0
N_7_6,7.0,6.0
N_7_7,7.0,7.0
N_7_8,7.0,8.0
N_7_9,7.0,9.0
N_8_0,8.0,0.0
N_8_1,8.0,1.0
N_8_10,8.0,10.0
N_8_11,8.0,11.0
N_8_12,8.0,12.0
N_8_13,8.0,13.0
N_8_14,8.0,14.0
N_8_15,8.0,15.0
N_8_16,8.0,16.0
N_8_17,8.0,17.0
N_8_18,8.0,18.0
N_8_19,8.0,19.0
N_8_2,8.0,2.0
N_8_20,8.0,20.0
N_8_21,8.0,21.0
N_8_22,8.0,22.0
N_8_23,8.0,23.0
N_8_24,8.0,24.0
N_8_25,8.0,25.0
N_8_26,8.0,26.0
N_8_27,8.0,27.0
N_8_28,8.0,28.0
N_8_29,8.0,29.0
N_8_3,8.0,3.0
N_8_30,8.0,30.0
N_8_31,8.0,31.0
N_8_32,8.0,32.0
N_8_33,8.0,33.0
N_8_34,8.0,34.0
N_8_35,8.0,35.0
N_8_36,8.0,36.0
N_8_37,8.0,37.0
N_8_38,8.0,38.0
N_8_39,8.0,39.0
N_8_4,8.0,4.0
N_8_5,8.0,5.0
N_8_6,8.0,6.0
N_8_7,8.0,7.0
N_8_8,8.0,8.0
N_8_9,8.0,9.0
N_9_0,9.0,0.0
N_9_1,9.0,1.0
N_9_10,9.0,10.0
N_9_11,9.0,11.0
N_9_12,9.0,12.0
N_9_13,9.0,13.0
N_9_14,9.0,14.0
N_9_15,9.0,15.0
N_9_16,9.0,16.0
N_9_17,9.0,17.0
N_9_18,9.0,18.0
N_9_19,9.0,19.0
N_9_2,9.0,2.0
N_9_20,9.0,20.0
N_9_21,9.0,21.0
N_9_22,9.0,22.0
N_9_23,9.0,23.0
N_9_24,9.0,24.0
N_9_25,9.0,25.0
N_9_26,9.0,26.0
N_9_27,9.0,27.0
N_9_28,9.0,28.0
N_9_29,9.0,29.0
N_9_3,9.0,3.0
N_9_30,9.0,30.0
N_9_31,9.0,31.0
N_9_32,9.0,32.0
N_9_33,9.0,33.0
N_9_34,9.0,34.0
N_9_35,9.0,35.0
N_9_36,9.0,36.0
N_9_37,9.0,37.0
N_9_38,9.0,38.0
N_9_39,9.0,39.0
N_9_4,9.0,4.0
N_9_5,9.0,5.0
N_9_6,9.0,6.0
N_9_7,9.0,7.0
